ID,Institucion educativa,Ranking institución educativa,Origen institución educativa,Número de créditos programa educativo,nombreareaconocimiento,Metodología programa educativo,Area programa educativo,Periodicidad programa educativo,Numero periodos programa educativo,Titulo egresado,Opiniones institución educativa,Link,image_url
29,UNIVERSIDAD NACIONAL DE COLOMBIA,3,Público,180,Ingeniería arquitectura urbanismo y afines,Presencial,Ingeniería civil y afines,Semestral,10,INGENIERO(A) CIVIL,,http://unal.edu.co/,https://www1.funcionpublica.gov.co/documents/28587425/41589060/logo-Universidad-Nacional.png/92343759-b2d7-7df3-4425-efa3337f2da7?t=1671747619326
30,UNIVERSIDAD NACIONAL DE COLOMBIA,3,Público,NA,Ingeniería arquitectura urbanismo y afines,Presencial,Ingeniería de sistemas telemática y afines,Semestral,10,INGENIERO(A) DE SISTEMAS Y COMPUTACION,,http://unal.edu.co/,https://www1.funcionpublica.gov.co/documents/28587425/41589060/logo-Universidad-Nacional.png/92343759-b2d7-7df3-4425-efa3337f2da7?t=1671747619326
31,UNIVERSIDAD NACIONAL DE COLOMBIA,3,Público,167,Ingeniería arquitectura urbanismo y afines,Presencial,Ingeniería eléctrica y afines,Semestral,10,INGENIERO (A) ELECTRICISTA,,http://unal.edu.co/,https://www1.funcionpublica.gov.co/documents/28587425/41589060/logo-Universidad-Nacional.png/92343759-b2d7-7df3-4425-efa3337f2da7?t=1671747619326
32,UNIVERSIDAD NACIONAL DE COLOMBIA,3,Público,172,Ingeniería arquitectura urbanismo y afines,Presencial,Ingeniería electrónica telecomunicaciones y afines,Semestral,10,INGENIERO(A) ELECTRONICO(A),,http://unal.edu.co/,https://www1.funcionpublica.gov.co/documents/28587425/41589060/logo-Universidad-Nacional.png/92343759-b2d7-7df3-4425-efa3337f2da7?t=1671747619326
33,UNIVERSIDAD NACIONAL DE COLOMBIA,3,Público,168,Ingeniería arquitectura urbanismo y afines,Presencial,Ingeniería industrial y afines,Semestral,10,INGENIERO(A) INDUSTRIAL,,http://unal.edu.co/,https://www1.funcionpublica.gov.co/documents/28587425/41589060/logo-Universidad-Nacional.png/92343759-b2d7-7df3-4425-efa3337f2da7?t=1671747619326
34,UNIVERSIDAD NACIONAL DE COLOMBIA,3,Público,180,Ingeniería arquitectura urbanismo y afines,Presencial,Ingeniería mecánica y afines,Semestral,10,INGENIERO(A) MECANICO(A),,http://unal.edu.co/,https://www1.funcionpublica.gov.co/documents/28587425/41589060/logo-Universidad-Nacional.png/92343759-b2d7-7df3-4425-efa3337f2da7?t=1671747619326
35,UNIVERSIDAD NACIONAL DE COLOMBIA,3,Público,179,Ingeniería arquitectura urbanismo y afines,Presencial,Ingeniería mecánica y afines,Semestral,10,INGENIERO(A) MECATRONICO(A),,http://unal.edu.co/,https://www1.funcionpublica.gov.co/documents/28587425/41589060/logo-Universidad-Nacional.png/92343759-b2d7-7df3-4425-efa3337f2da7?t=1671747619326
36,UNIVERSIDAD NACIONAL DE COLOMBIA,3,Público,180,Ingeniería arquitectura urbanismo y afines,Presencial,Ingeniería química y afines,Semestral,10,INGENIERO(A) QUIMICO(A),,http://unal.edu.co/,https://www1.funcionpublica.gov.co/documents/28587425/41589060/logo-Universidad-Nacional.png/92343759-b2d7-7df3-4425-efa3337f2da7?t=1671747619326
37,UNIVERSIDAD NACIONAL DE COLOMBIA,3,Público,123,Ciencias sociales y humanas,Presencial,Lenguas modernas literatura linguística y afines,Semestral,8,LINGUISTICA,,http://unal.edu.co/,https://www1.funcionpublica.gov.co/documents/28587425/41589060/logo-Universidad-Nacional.png/92343759-b2d7-7df3-4425-efa3337f2da7?t=1671747619326
38,UNIVERSIDAD NACIONAL DE COLOMBIA,3,Público,140,Matemáticas y ciencias naturales,Presencial,Matemáticas estadística y afines,Semestral,10,MATEMATICO(A),,http://unal.edu.co/,https://www1.funcionpublica.gov.co/documents/28587425/41589060/logo-Universidad-Nacional.png/92343759-b2d7-7df3-4425-efa3337f2da7?t=1671747619326
39,UNIVERSIDAD NACIONAL DE COLOMBIA,3,Público,256,Ciencias de la salud,Presencial,Medicina,Semestral,12,MEDICO(A) CIRUJANO(A),,http://unal.edu.co/,https://www1.funcionpublica.gov.co/documents/28587425/41589060/logo-Universidad-Nacional.png/92343759-b2d7-7df3-4425-efa3337f2da7?t=1671747619326
40,UNIVERSIDAD NACIONAL DE COLOMBIA,3,Público,209,Agronomía veterinaria y afines,Presencial,Medicina veterinaria,Semestral,10,MEDICO(A) VETERINARIO(A),,http://unal.edu.co/,https://www1.funcionpublica.gov.co/documents/28587425/41589060/logo-Universidad-Nacional.png/92343759-b2d7-7df3-4425-efa3337f2da7?t=1671747619326
41,UNIVERSIDAD NACIONAL DE COLOMBIA,3,Público,171,Bellas artes,Presencial,Música,Semestral,10,MUSICO CON ENFASIS EN ...,,http://unal.edu.co/,https://www1.funcionpublica.gov.co/documents/28587425/41589060/logo-Universidad-Nacional.png/92343759-b2d7-7df3-4425-efa3337f2da7?t=1671747619326
42,UNIVERSIDAD NACIONAL DE COLOMBIA,3,Público,183,Bellas artes,Presencial,Música,Semestral,10,MUSICO INSTRUMENTALISTA CON ENFASIS EN...,,http://unal.edu.co/,https://www1.funcionpublica.gov.co/documents/28587425/41589060/logo-Universidad-Nacional.png/92343759-b2d7-7df3-4425-efa3337f2da7?t=1671747619326
43,UNIVERSIDAD NACIONAL DE COLOMBIA,3,Público,158,Ciencias de la salud,Presencial,Nutrición y dietética,Semestral,10,NUTRICIONISTA-DIETISTA,,http://unal.edu.co/,https://www1.funcionpublica.gov.co/documents/28587425/41589060/logo-Universidad-Nacional.png/92343759-b2d7-7df3-4425-efa3337f2da7?t=1671747619326
44,UNIVERSIDAD NACIONAL DE COLOMBIA,3,Público,180,Ciencias de la salud,Presencial,Odontología,Semestral,10,ODONTOLOGO(A),,http://unal.edu.co/,https://www1.funcionpublica.gov.co/documents/28587425/41589060/logo-Universidad-Nacional.png/92343759-b2d7-7df3-4425-efa3337f2da7?t=1671747619326
45,UNIVERSIDAD NACIONAL DE COLOMBIA,3,Público,150,Ciencias sociales y humanas,Presencial,Psicología,Semestral,10,PSICOLOGO(A),,http://unal.edu.co/,https://www1.funcionpublica.gov.co/documents/28587425/41589060/logo-Universidad-Nacional.png/92343759-b2d7-7df3-4425-efa3337f2da7?t=1671747619326
46,UNIVERSIDAD NACIONAL DE COLOMBIA,3,Público,160,Matemáticas y ciencias naturales,Presencial,Química y afines,Semestral,10,QUIMICO(A),,http://unal.edu.co/,https://www1.funcionpublica.gov.co/documents/28587425/41589060/logo-Universidad-Nacional.png/92343759-b2d7-7df3-4425-efa3337f2da7?t=1671747619326
47,UNIVERSIDAD NACIONAL DE COLOMBIA,3,Público,131,Ciencias sociales y humanas,Presencial,Sociología trabajo social y afines,Semestral,9,SOCIOLOGO(A),,http://unal.edu.co/,https://www1.funcionpublica.gov.co/documents/28587425/41589060/logo-Universidad-Nacional.png/92343759-b2d7-7df3-4425-efa3337f2da7?t=1671747619326
48,UNIVERSIDAD NACIONAL DE COLOMBIA,3,Público,160,Ciencias de la salud,Presencial,Terapias,Semestral,8,TERAPEUTA OCUPACIONAL,,http://unal.edu.co/,https://www1.funcionpublica.gov.co/documents/28587425/41589060/logo-Universidad-Nacional.png/92343759-b2d7-7df3-4425-efa3337f2da7?t=1671747619326
49,UNIVERSIDAD NACIONAL DE COLOMBIA,3,Público,148,Ciencias sociales y humanas,Presencial,Sociología trabajo social y afines,Semestral,10,TRABAJADOR(A) SOCIAL,,http://unal.edu.co/,https://www1.funcionpublica.gov.co/documents/28587425/41589060/logo-Universidad-Nacional.png/92343759-b2d7-7df3-4425-efa3337f2da7?t=1671747619326
50,UNIVERSIDAD NACIONAL DE COLOMBIA,3,Público,186,Agronomía veterinaria y afines,Presencial,Zootecnia,Semestral,10,ZOOTECNISTA,,http://unal.edu.co/,https://www1.funcionpublica.gov.co/documents/28587425/41589060/logo-Universidad-Nacional.png/92343759-b2d7-7df3-4425-efa3337f2da7?t=1671747619326
51,UNIVERSIDAD MILITAR-NUEVA GRANADA,50,Público,158,Economía administración contaduría y afines,Presencial,Administración,Semestral,9,ADMINISTRADOR DE EMPRESAS,,https://www.umng.edu.co/inicio,https://estudiacolombia.co/wp-content/uploads/2022/05/1-30.jpg
52,UNIVERSIDAD MILITAR-NUEVA GRANADA,50,Público,145,Economía administración contaduría y afines,A distancia,Administración,Semestral,8,ADMINISTRADOR DE RIESGOS SEGURIDAD Y SALUD EN EL TRABAJO,,https://www.umng.edu.co/inicio,https://estudiacolombia.co/wp-content/uploads/2022/05/1-30.jpg
53,UNIVERSIDAD MILITAR-NUEVA GRANADA,50,Público,155,Economía administración contaduría y afines,Presencial,Contaduría pública,Semestral,9,CONTADOR PUBLICO,,https://www.umng.edu.co/inicio,https://estudiacolombia.co/wp-content/uploads/2022/05/1-30.jpg
