ID,Area programa educativo,Titulo egresado
193,Sin clasificar,PROFESIONAL EN CIENCIA DE DATOS
194,Comunicación social periodismo y afines,COMUNICADOR SOCIAL- PERIODISTA
195,Artes plásticas visuales y afines,PROFESIONAL EN CONSERVACION Y RESTAURACION DE PATRIMONIO CULTURAL MUEBLE
196,Contaduría pública,CONTADOR PUBLICO
197,Derecho y afines,ABOGADO
198,Economía,ECONOMISTA
199,Filosofía teología y afines,FILOSOFO
200,Administración,PROFESIONAL EN FINANZAS Y RELACIONES INTERNACIONALES
201,Geografía historia,GEOGRAFO (A)
202,Ciencia política relaciones internacionales,PROFESIONAL EN GOBIERNO Y RELACIONES INTERNACIONALES
203,Geografía historia,HISTORIADOR
204,Psicología,PSICOLOGO(A)
205,Sociología trabajo social y afines,SOCIOLOGO
206,Sociología trabajo social y afines,TRABAJADOR SOCIAL
241,Administración,ADMINISTRADOR DE EMPRESAS
242,Biología microbiología y afines,BIÓLOGO
243,Artes plásticas visuales y afines,MAESTRO EN CINEMATOGRAFÍA - MAESTRA EN CINEMATOGRAFÍA
244,Comunicación social periodismo y afines,COMUNICADOR SOCIAL Y PERIODISTA
245,Contaduría pública,CONTADOR PUBLICO
246,Lenguas modernas literatura linguística y afines,PROFESIONAL EN CREACION LITERARIA
247,Derecho y afines,ABOGADO
248,Economía,ECONOMISTA
249,Música,MAESTRO EN MÚSICA
250,Ingeniería ambiental sanitaria y afines,INGENIERO AMBIENTAL
251,Ingeniería de sistemas telemática y afines,INGENIERO DE SISTEMAS
252,Ingeniería electrónica telecomunicaciones y afines,INGENIERO ELECTRONICO
253,Ingeniería industrial y afines,INGENIERO INDUSTRIAL
254,Ingeniería mecánica y afines,INGENIERO MECANICO
255,Matemáticas estadística y afines,MATEMATICO
256,Administración,MERCADÓLOGO
257,Publicidad y afines,PUBLICISTA
258,Sociología trabajo social y afines,TRABAJADOR (A) SOCIAL
295,Administración,ADMINISTRADOR DE EMPRESAS
296,Arquitectura,ARQUITECTO
297,Economía,ECONOMISTA
298,Matemáticas estadística y afines,PROFESIONAL UNIVERSITARIO EN ESTADISTICA Y CIENCIAS ACTUARIALES
299,Ingeniería ambiental sanitaria y afines,INGENIERO AMBIENTAL
300,Ingeniería de minas metalurgia y afines,INGENIERO DE PETROLEOS
301,Sin clasificar,INGENIERO EN ENERGIAS
302,Ingeniería industrial y afines,INGENIERO INDUSTRIAL
303,Ingeniería mecánica y afines,INGENIERO MECANICO
304,Sin clasificar,INGENIERO MECATRONICO
305,Ingeniería química y afines,INGENIERO QUIMICO
306,Economía,PROFESIONAL EN NEGOCIOS INTERNACIONALES
307,Administración,ADMINISTRADOR DE EMPRESAS
308,Ciencia política relaciones internacionales,POLITOLOGO
309,Contaduría pública,CONTADOR PUBLICO
310,Derecho y afines,ABOGADO
311,Economía,ECONOMISTA
312,Ingeniería mecánica y afines,INGENIERO AERONAUTICO
313,Ingeniería de sistemas telemática y afines,INGENIERO DE SISTEMAS
314,Ingeniería electrónica telecomunicaciones y afines,INGENIERO DE SONIDO
315,Ingeniería electrónica telecomunicaciones y afines,INGENIERO ELECTRONICO
316,Ingeniería mecánica y afines,INGENIERO MECATRONICO
